epic_burnell: CPU: 3208.86%, Memory: 18.09GiB / 503.5GiB
epic_burnell: CPU: 3099.33%, Memory: 18.09GiB / 503.5GiB
epic_burnell: CPU: 3016.31%, Memory: 18.09GiB / 503.5GiB
epic_burnell: CPU: 100.05%, Memory: 21.08GiB / 503.5GiB
epic_burnell: CPU: 100.04%, Memory: 7.505GiB / 503.5GiB
epic_burnell: CPU: 3124.17%, Memory: 9.054GiB / 503.5GiB
epic_burnell: CPU: 3196.63%, Memory: 9.054GiB / 503.5GiB
epic_burnell: CPU: 3197.91%, Memory: 9.054GiB / 503.5GiB
epic_burnell: CPU: 3166.52%, Memory: 9.054GiB / 503.5GiB
epic_burnell: CPU: 3199.37%, Memory: 9.054GiB / 503.5GiB
epic_burnell: CPU: 3198.76%, Memory: 9.054GiB / 503.5GiB
epic_burnell: CPU: 100.14%, Memory: 15.11GiB / 503.5GiB
jovial_babbage: CPU: 118.98%, Memory: 1.168GiB / 503.5GiB
jovial_babbage: CPU: 100.21%, Memory: 3.962GiB / 503.5GiB
jovial_babbage: CPU: 100.18%, Memory: 3.411GiB / 503.5GiB
jovial_babbage: CPU: 100.03%, Memory: 5.923GiB / 503.5GiB
jovial_babbage: CPU: 369.13%, Memory: 8.997GiB / 503.5GiB
jovial_babbage: CPU: 3101.17%, Memory: 9.001GiB / 503.5GiB
jovial_babbage: CPU: 3183.87%, Memory: 9.003GiB / 503.5GiB
jovial_babbage: CPU: 3209.64%, Memory: 9.004GiB / 503.5GiB
jovial_babbage: CPU: 3197.96%, Memory: 9.004GiB / 503.5GiB
jovial_babbage: CPU: 3196.90%, Memory: 9.005GiB / 503.5GiB
jovial_babbage: CPU: 3174.10%, Memory: 9.006GiB / 503.5GiB
jovial_babbage: CPU: 3198.20%, Memory: 9.007GiB / 503.5GiB
jovial_babbage: CPU: 3193.57%, Memory: 9.008GiB / 503.5GiB
jovial_babbage: CPU: 3185.26%, Memory: 9.009GiB / 503.5GiB
jovial_babbage: CPU: 3195.45%, Memory: 9.01GiB / 503.5GiB
jovial_babbage: CPU: 3202.44%, Memory: 9.012GiB / 503.5GiB
jovial_babbage: CPU: 3096.12%, Memory: 9.01GiB / 503.5GiB
jovial_babbage: CPU: 3131.55%, Memory: 9.013GiB / 503.5GiB
jovial_babbage: CPU: 3095.05%, Memory: 9.012GiB / 503.5GiB
jovial_babbage: CPU: 3180.51%, Memory: 9.015GiB / 503.5GiB
jovial_babbage: CPU: 3185.66%, Memory: 9.018GiB / 503.5GiB
jovial_babbage: CPU: 3186.31%, Memory: 9.022GiB / 503.5GiB
jovial_babbage: CPU: 99.88%, Memory: 9.027GiB / 503.5GiB
jovial_babbage: CPU: 100.12%, Memory: 9.027GiB / 503.5GiB
jovial_babbage: CPU: 99.69%, Memory: 7.534GiB / 503.5GiB
jovial_babbage: CPU: 99.71%, Memory: 10.52GiB / 503.5GiB
jovial_babbage: CPU: 3193.89%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3186.36%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3195.27%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3104.72%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3086.43%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3087.53%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3081.15%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3186.58%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3198.88%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3183.02%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3208.58%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3198.40%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3197.55%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3198.48%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3209.07%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3196.28%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3170.59%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3101.80%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3084.38%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 3157.12%, Memory: 12.01GiB / 503.5GiB
jovial_babbage: CPU: 100.15%, Memory: 15GiB / 503.5GiB
jovial_babbage: CPU: 99.63%, Memory: 11.53GiB / 503.5GiB
jovial_babbage: CPU: 3195.93%, Memory: 12.12GiB / 503.5GiB
jovial_babbage: CPU: 3197.03%, Memory: 12.12GiB / 503.5GiB
jovial_babbage: CPU: 3194.84%, Memory: 12.12GiB / 503.5GiB
jovial_babbage: CPU: 3193.92%, Memory: 12.12GiB / 503.5GiB
jovial_babbage: CPU: 3186.67%, Memory: 12.12GiB / 503.5GiB
jovial_babbage: CPU: 100.08%, Memory: 13.82GiB / 503.5GiB
jovial_babbage: CPU: 100.18%, Memory: 16.89GiB / 503.5GiB
jovial_babbage: CPU: 3194.81%, Memory: 18.09GiB / 503.5GiB
jovial_babbage: CPU: 3106.63%, Memory: 18.09GiB / 503.5GiB
jovial_babbage: CPU: 3178.68%, Memory: 18.09GiB / 503.5GiB
jovial_babbage: CPU: 3096.07%, Memory: 18.09GiB / 503.5GiB
jovial_babbage: CPU: 3095.15%, Memory: 18.09GiB / 503.5GiB
jovial_babbage: CPU: 3063.45%, Memory: 18.09GiB / 503.5GiB
