elated_brown: CPU: 100.06%, Memory: 8.124GiB / 503.5GiB
elated_brown: CPU: 3196.04%, Memory: 9.068GiB / 503.5GiB
elated_brown: CPU: 3196.26%, Memory: 9.068GiB / 503.5GiB
elated_brown: CPU: 3195.88%, Memory: 9.068GiB / 503.5GiB
elated_brown: CPU: 3207.45%, Memory: 9.068GiB / 503.5GiB
elated_brown: CPU: 3205.51%, Memory: 9.068GiB / 503.5GiB
elated_brown: CPU: 3197.14%, Memory: 9.068GiB / 503.5GiB
elated_brown: CPU: 100.12%, Memory: 9.068GiB / 503.5GiB
adoring_payne: CPU: 145.44%, Memory: 1.216GiB / 503.5GiB
adoring_payne: CPU: 100.24%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.24%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 99.75%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 99.68%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
adoring_payne: CPU: 99.69%, Memory: 6.477GiB / 503.5GiB
adoring_payne: CPU: 2751.26%, Memory: 7.627GiB / 503.5GiB
adoring_payne: CPU: 3180.80%, Memory: 7.626GiB / 503.5GiB
adoring_payne: CPU: 100.15%, Memory: 6.505GiB / 503.5GiB
adoring_payne: CPU: 2505.87%, Memory: 7.639GiB / 503.5GiB
adoring_payne: CPU: 3189.39%, Memory: 7.638GiB / 503.5GiB
adoring_payne: CPU: 3160.91%, Memory: 7.65GiB / 503.5GiB
adoring_payne: CPU: 99.72%, Memory: 7.654GiB / 503.5GiB
adoring_payne: CPU: 100.15%, Memory: 6.081GiB / 503.5GiB
adoring_payne: CPU: 100.08%, Memory: 6.766GiB / 503.5GiB
adoring_payne: CPU: 1956.61%, Memory: 9.069GiB / 503.5GiB
adoring_payne: CPU: 3090.01%, Memory: 9.068GiB / 503.5GiB
adoring_payne: CPU: 3154.31%, Memory: 9.068GiB / 503.5GiB
adoring_payne: CPU: 3209.47%, Memory: 9.068GiB / 503.5GiB
