vibrant_payne: CPU: 3120.98%, Memory: 9.049GiB / 503.5GiB
vibrant_payne: CPU: 3056.44%, Memory: 9.049GiB / 503.5GiB
vibrant_payne: CPU: 3099.80%, Memory: 9.049GiB / 503.5GiB
vibrant_payne: CPU: 3099.15%, Memory: 9.049GiB / 503.5GiB
vibrant_payne: CPU: 3189.30%, Memory: 9.049GiB / 503.5GiB
vibrant_payne: CPU: 100.06%, Memory: 14.79GiB / 503.5GiB
cool_mclean: CPU: 100.10%, Memory: 1.552GiB / 503.5GiB
cool_mclean: CPU: 100.24%, Memory: 4.246GiB / 503.5GiB
cool_mclean: CPU: 100.05%, Memory: 3.998GiB / 503.5GiB
cool_mclean: CPU: 100.12%, Memory: 4.334GiB / 503.5GiB
cool_mclean: CPU: 682.55%, Memory: 9.051GiB / 503.5GiB
cool_mclean: CPU: 3183.25%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3198.42%, Memory: 9.052GiB / 503.5GiB
cool_mclean: CPU: 3196.17%, Memory: 9.05GiB / 503.5GiB
cool_mclean: CPU: 3196.13%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3068.97%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3070.29%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3096.22%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3002.23%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 742.65%, Memory: 9.762GiB / 503.5GiB
cool_mclean: CPU: 99.78%, Memory: 12.03GiB / 503.5GiB
cool_mclean: CPU: 3028.26%, Memory: 9.052GiB / 503.5GiB
cool_mclean: CPU: 3194.84%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3196.56%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3175.03%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3198.06%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 3208.93%, Memory: 9.049GiB / 503.5GiB
cool_mclean: CPU: 270.26%, Memory: 11.46GiB / 503.5GiB
cool_mclean: CPU: 100.12%, Memory: 9.8GiB / 503.5GiB
quirky_jennings: CPU: 100.15%, Memory: 1.289GiB / 503.5GiB
quirky_jennings: CPU: 99.87%, Memory: 4.03GiB / 503.5GiB
quirky_jennings: CPU: 100.15%, Memory: 3.525GiB / 503.5GiB
