agitated_solomon: CPU: 3198.91%, Memory: 9.002GiB / 503.5GiB
agitated_solomon: CPU: 3192.28%, Memory: 9.003GiB / 503.5GiB
agitated_solomon: CPU: 3186.21%, Memory: 9.004GiB / 503.5GiB
agitated_solomon: CPU: 3205.98%, Memory: 9.006GiB / 503.5GiB
agitated_solomon: CPU: 3193.32%, Memory: 9.007GiB / 503.5GiB
agitated_solomon: CPU: 3195.82%, Memory: 9.009GiB / 503.5GiB
agitated_solomon: CPU: 3193.30%, Memory: 9.014GiB / 503.5GiB
agitated_solomon: CPU: 100.18%, Memory: 9.016GiB / 503.5GiB
agitated_solomon: CPU: 100.15%, Memory: 9.016GiB / 503.5GiB
agitated_solomon: CPU: 99.75%, Memory: 7.125GiB / 503.5GiB
agitated_solomon: CPU: 100.05%, Memory: 9.4GiB / 503.5GiB
agitated_solomon: CPU: 100.18%, Memory: 11.02GiB / 503.5GiB
agitated_solomon: CPU: 100.39%, Memory: 12.32GiB / 503.5GiB
agitated_solomon: CPU: 422.59%, Memory: 13.59GiB / 503.5GiB
agitated_solomon: CPU: 3185.93%, Memory: 13.59GiB / 503.5GiB
agitated_solomon: CPU: 3195.35%, Memory: 13.59GiB / 503.5GiB
agitated_solomon: CPU: 3077.80%, Memory: 13.59GiB / 503.5GiB
agitated_solomon: CPU: 100.21%, Memory: 13.59GiB / 503.5GiB
agitated_solomon: CPU: 100.18%, Memory: 13.59GiB / 503.5GiB
agitated_solomon: CPU: 99.72%, Memory: 9.92GiB / 503.5GiB
agitated_solomon: CPU: 100.15%, Memory: 11.21GiB / 503.5GiB
agitated_solomon: CPU: 100.15%, Memory: 12.5GiB / 503.5GiB
agitated_solomon: CPU: 100.15%, Memory: 13.8GiB / 503.5GiB
agitated_solomon: CPU: 603.68%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3198.61%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3090.27%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3089.17%, Memory: 15.01GiB / 503.5GiB
