silly_cannon: CPU: 1604.56%, Memory: 9.191GiB / 503.5GiB
silly_cannon: CPU: 1596.17%, Memory: 9.231GiB / 503.5GiB
silly_cannon: CPU: 1589.44%, Memory: 9.244GiB / 503.5GiB
silly_cannon: CPU: 1600.48%, Memory: 9.253GiB / 503.5GiB
silly_cannon: CPU: 1599.31%, Memory: 9.255GiB / 503.5GiB
silly_cannon: CPU: 1603.52%, Memory: 7.982GiB / 503.5GiB
gracious_dewdney: CPU: 100.18%, Memory: 3.802GiB / 503.5GiB
gracious_dewdney: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
gracious_dewdney: CPU: 100.12%, Memory: 5.975GiB / 503.5GiB
gracious_dewdney: CPU: 1594.21%, Memory: 9.027GiB / 503.5GiB
gracious_dewdney: CPU: 1601.11%, Memory: 9.03GiB / 503.5GiB
gracious_dewdney: CPU: 1601.67%, Memory: 9.033GiB / 503.5GiB
gracious_dewdney: CPU: 1599.50%, Memory: 9.038GiB / 503.5GiB
gracious_dewdney: CPU: 1604.26%, Memory: 9.049GiB / 503.5GiB
gracious_dewdney: CPU: 1587.63%, Memory: 9.152GiB / 503.5GiB
gracious_dewdney: CPU: 1596.43%, Memory: 9.181GiB / 503.5GiB
gracious_dewdney: CPU: 1598.74%, Memory: 9.204GiB / 503.5GiB
gracious_dewdney: CPU: 1596.58%, Memory: 9.22GiB / 503.5GiB
gracious_dewdney: CPU: 1593.13%, Memory: 9.235GiB / 503.5GiB
gracious_dewdney: CPU: 1598.54%, Memory: 9.247GiB / 503.5GiB
gracious_dewdney: CPU: 1598.34%, Memory: 9.255GiB / 503.5GiB
gracious_dewdney: CPU: 1366.10%, Memory: 7.98GiB / 503.5GiB
gracious_dewdney: CPU: 1570.21%, Memory: 7.98GiB / 503.5GiB
thirsty_varahamihira: CPU: 100.08%, Memory: 2.952GiB / 503.5GiB
thirsty_varahamihira: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
thirsty_varahamihira: CPU: 1396.03%, Memory: 9.025GiB / 503.5GiB
thirsty_varahamihira: CPU: 1602.15%, Memory: 9.029GiB / 503.5GiB
thirsty_varahamihira: CPU: 1606.79%, Memory: 9.032GiB / 503.5GiB
thirsty_varahamihira: CPU: 1602.33%, Memory: 9.036GiB / 503.5GiB
thirsty_varahamihira: CPU: 1600.59%, Memory: 9.042GiB / 503.5GiB
thirsty_varahamihira: CPU: 1601.42%, Memory: 9.069GiB / 503.5GiB
thirsty_varahamihira: CPU: 1593.69%, Memory: 9.171GiB / 503.5GiB
thirsty_varahamihira: CPU: 1592.44%, Memory: 9.156GiB / 503.5GiB
thirsty_varahamihira: CPU: 1598.79%, Memory: 9.211GiB / 503.5GiB
thirsty_varahamihira: CPU: 1601.76%, Memory: 9.228GiB / 503.5GiB
thirsty_varahamihira: CPU: 1597.14%, Memory: 9.243GiB / 503.5GiB
thirsty_varahamihira: CPU: 1599.33%, Memory: 9.251GiB / 503.5GiB
thirsty_varahamihira: CPU: 1596.76%, Memory: 9.254GiB / 503.5GiB
thirsty_varahamihira: CPU: 1600.53%, Memory: 7.982GiB / 503.5GiB
youthful_greider: CPU: 100.11%, Memory: 3.036GiB / 503.5GiB
youthful_greider: CPU: 100.34%, Memory: 5.975GiB / 503.5GiB
youthful_greider: CPU: 1444.57%, Memory: 9.024GiB / 503.5GiB
youthful_greider: CPU: 1603.35%, Memory: 9.028GiB / 503.5GiB
youthful_greider: CPU: 1600.47%, Memory: 9.031GiB / 503.5GiB
youthful_greider: CPU: 1600.23%, Memory: 9.035GiB / 503.5GiB
youthful_greider: CPU: 1601.49%, Memory: 9.041GiB / 503.5GiB
youthful_greider: CPU: 566.74%, Memory: 7.497GiB / 503.5GiB
youthful_greider: CPU: 1593.10%, Memory: 9.164GiB / 503.5GiB
youthful_greider: CPU: 1593.09%, Memory: 9.19GiB / 503.5GiB
youthful_greider: CPU: 1593.61%, Memory: 9.139GiB / 503.5GiB
youthful_greider: CPU: 1602.28%, Memory: 9.226GiB / 503.5GiB
youthful_greider: CPU: 1597.54%, Memory: 9.239GiB / 503.5GiB
youthful_greider: CPU: 1593.02%, Memory: 9.252GiB / 503.5GiB
youthful_greider: CPU: 1604.82%, Memory: 9.254GiB / 503.5GiB
youthful_greider: CPU: 1528.89%, Memory: 7.982GiB / 503.5GiB
