xenodochial_mclean: CPU: 99.66%, Memory: 768.4MiB / 503.5GiB
xenodochial_mclean: CPU: 100.05%, Memory: 768.4MiB / 503.5GiB
xenodochial_mclean: CPU: 1615.10%, Memory: 2.265GiB / 503.5GiB
xenodochial_mclean: CPU: 3190.85%, Memory: 2.269GiB / 503.5GiB
xenodochial_mclean: CPU: 3204.89%, Memory: 2.276GiB / 503.5GiB
xenodochial_mclean: CPU: 99.75%, Memory: 2.322GiB / 503.5GiB
xenodochial_mclean: CPU: 3076.48%, Memory: 3.449GiB / 503.5GiB
xenodochial_mclean: CPU: 100.11%, Memory: 3.071GiB / 503.5GiB
xenodochial_mclean: CPU: 3190.80%, Memory: 3.786GiB / 503.5GiB
xenodochial_mclean: CPU: 3191.46%, Memory: 3.785GiB / 503.5GiB
xenodochial_mclean: CPU: 3196.52%, Memory: 3.785GiB / 503.5GiB
xenodochial_mclean: CPU: 3193.61%, Memory: 3.786GiB / 503.5GiB
xenodochial_mclean: CPU: 2366.20%, Memory: 3.785GiB / 503.5GiB
xenodochial_mclean: CPU: 3127.35%, Memory: 3.037GiB / 503.5GiB
recursing_darwin: CPU: 100.58%, Memory: 768.6MiB / 503.5GiB
recursing_darwin: CPU: 99.90%, Memory: 768.5MiB / 503.5GiB
recursing_darwin: CPU: 100.12%, Memory: 768.5MiB / 503.5GiB
recursing_darwin: CPU: 100.12%, Memory: 768.5MiB / 503.5GiB
recursing_darwin: CPU: 100.11%, Memory: 768.5MiB / 503.5GiB
recursing_darwin: CPU: 100.08%, Memory: 1.038GiB / 503.5GiB
recursing_darwin: CPU: 3192.16%, Memory: 2.266GiB / 503.5GiB
recursing_darwin: CPU: 3191.27%, Memory: 2.269GiB / 503.5GiB
recursing_darwin: CPU: 3195.06%, Memory: 2.275GiB / 503.5GiB
recursing_darwin: CPU: 100.14%, Memory: 1.843GiB / 503.5GiB
recursing_darwin: CPU: 1611.83%, Memory: 3.449GiB / 503.5GiB
recursing_darwin: CPU: 100.08%, Memory: 2.771GiB / 503.5GiB
recursing_darwin: CPU: 3127.74%, Memory: 3.786GiB / 503.5GiB
recursing_darwin: CPU: 3096.16%, Memory: 3.785GiB / 503.5GiB
recursing_darwin: CPU: 3166.94%, Memory: 3.786GiB / 503.5GiB
recursing_darwin: CPU: 3107.34%, Memory: 3.786GiB / 503.5GiB
recursing_darwin: CPU: 3174.68%, Memory: 3.786GiB / 503.5GiB
recursing_darwin: CPU: 561.76%, Memory: 3.785GiB / 503.5GiB
recursing_darwin: CPU: 2842.28%, Memory: 3.037GiB / 503.5GiB
angry_hopper: CPU: 142.49%, Memory: 768.8MiB / 503.5GiB
angry_hopper: CPU: 100.34%, Memory: 768.4MiB / 503.5GiB
angry_hopper: CPU: 100.18%, Memory: 768.4MiB / 503.5GiB
angry_hopper: CPU: 99.96%, Memory: 768.4MiB / 503.5GiB
angry_hopper: CPU: 100.08%, Memory: 768.4MiB / 503.5GiB
angry_hopper: CPU: 100.45%, Memory: 768.4MiB / 503.5GiB
angry_hopper: CPU: 2717.74%, Memory: 2.266GiB / 503.5GiB
angry_hopper: CPU: 3190.82%, Memory: 2.269GiB / 503.5GiB
angry_hopper: CPU: 3193.70%, Memory: 2.276GiB / 503.5GiB
angry_hopper: CPU: 100.21%, Memory: 2.277GiB / 503.5GiB
angry_hopper: CPU: 2558.72%, Memory: 3.449GiB / 503.5GiB
angry_hopper: CPU: 100.18%, Memory: 2.955GiB / 503.5GiB
angry_hopper: CPU: 3208.70%, Memory: 3.785GiB / 503.5GiB
angry_hopper: CPU: 3190.78%, Memory: 3.785GiB / 503.5GiB
angry_hopper: CPU: 3205.11%, Memory: 3.785GiB / 503.5GiB
angry_hopper: CPU: 3206.10%, Memory: 3.785GiB / 503.5GiB
angry_hopper: CPU: 3190.15%, Memory: 3.785GiB / 503.5GiB
angry_hopper: CPU: 647.83%, Memory: 3.039GiB / 503.5GiB
eloquent_borg: CPU: 100.15%, Memory: 769.1MiB / 503.5GiB
eloquent_borg: CPU: 100.12%, Memory: 768.5MiB / 503.5GiB
eloquent_borg: CPU: 99.65%, Memory: 768.5MiB / 503.5GiB
eloquent_borg: CPU: 99.81%, Memory: 768.4MiB / 503.5GiB
eloquent_borg: CPU: 100.14%, Memory: 768.4MiB / 503.5GiB
eloquent_borg: CPU: 99.83%, Memory: 1.497GiB / 503.5GiB
eloquent_borg: CPU: 3090.04%, Memory: 2.266GiB / 503.5GiB
eloquent_borg: CPU: 3105.97%, Memory: 2.268GiB / 503.5GiB
eloquent_borg: CPU: 3144.69%, Memory: 2.275GiB / 503.5GiB
eloquent_borg: CPU: 100.15%, Memory: 1.952GiB / 503.5GiB
eloquent_borg: CPU: 1950.14%, Memory: 3.449GiB / 503.5GiB
eloquent_borg: CPU: 100.09%, Memory: 2.831GiB / 503.5GiB
eloquent_borg: CPU: 3191.70%, Memory: 3.786GiB / 503.5GiB
eloquent_borg: CPU: 3178.60%, Memory: 3.785GiB / 503.5GiB
eloquent_borg: CPU: 3191.34%, Memory: 3.785GiB / 503.5GiB
eloquent_borg: CPU: 3192.78%, Memory: 3.785GiB / 503.5GiB
eloquent_borg: CPU: 3198.00%, Memory: 3.785GiB / 503.5GiB
eloquent_borg: CPU: 626.27%, Memory: 3.038GiB / 503.5GiB
