frosty_matsumoto: CPU: 1590.27%, Memory: 9.254GiB / 503.5GiB
frosty_matsumoto: CPU: 1600.06%, Memory: 7.982GiB / 503.5GiB
stoic_volhard: CPU: 100.18%, Memory: 3.098GiB / 503.5GiB
stoic_volhard: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
stoic_volhard: CPU: 1399.59%, Memory: 9.025GiB / 503.5GiB
stoic_volhard: CPU: 1604.25%, Memory: 9.029GiB / 503.5GiB
stoic_volhard: CPU: 1601.13%, Memory: 9.033GiB / 503.5GiB
stoic_volhard: CPU: 1600.72%, Memory: 9.036GiB / 503.5GiB
stoic_volhard: CPU: 1597.45%, Memory: 9.042GiB / 503.5GiB
stoic_volhard: CPU: 1597.09%, Memory: 9.126GiB / 503.5GiB
stoic_volhard: CPU: 1589.01%, Memory: 9.17GiB / 503.5GiB
stoic_volhard: CPU: 1599.67%, Memory: 9.193GiB / 503.5GiB
stoic_volhard: CPU: 1598.91%, Memory: 9.21GiB / 503.5GiB
stoic_volhard: CPU: 1601.84%, Memory: 9.228GiB / 503.5GiB
stoic_volhard: CPU: 1599.84%, Memory: 9.132GiB / 503.5GiB
stoic_volhard: CPU: 1601.80%, Memory: 9.252GiB / 503.5GiB
stoic_volhard: CPU: 1597.09%, Memory: 9.254GiB / 503.5GiB
stoic_volhard: CPU: 1599.44%, Memory: 7.978GiB / 503.5GiB
reverent_swirles: CPU: 100.39%, Memory: 2.937GiB / 503.5GiB
reverent_swirles: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
reverent_swirles: CPU: 1290.22%, Memory: 9.025GiB / 503.5GiB
reverent_swirles: CPU: 1604.28%, Memory: 9.029GiB / 503.5GiB
reverent_swirles: CPU: 1600.80%, Memory: 9.033GiB / 503.5GiB
reverent_swirles: CPU: 1600.50%, Memory: 9.036GiB / 503.5GiB
reverent_swirles: CPU: 1597.60%, Memory: 9.041GiB / 503.5GiB
reverent_swirles: CPU: 100.24%, Memory: 6.038GiB / 503.5GiB
reverent_swirles: CPU: 1587.57%, Memory: 9.129GiB / 503.5GiB
reverent_swirles: CPU: 1595.91%, Memory: 9.174GiB / 503.5GiB
reverent_swirles: CPU: 1597.20%, Memory: 9.189GiB / 503.5GiB
reverent_swirles: CPU: 1599.26%, Memory: 9.19GiB / 503.5GiB
reverent_swirles: CPU: 1595.87%, Memory: 9.191GiB / 503.5GiB
reverent_swirles: CPU: 1603.59%, Memory: 9.243GiB / 503.5GiB
reverent_swirles: CPU: 1597.06%, Memory: 9.252GiB / 503.5GiB
reverent_swirles: CPU: 1600.73%, Memory: 7.645GiB / 503.5GiB
reverent_swirles: CPU: 1603.40%, Memory: 7.983GiB / 503.5GiB
affectionate_jemison: CPU: 100.18%, Memory: 2.964GiB / 503.5GiB
affectionate_jemison: CPU: 100.12%, Memory: 5.975GiB / 503.5GiB
affectionate_jemison: CPU: 1382.34%, Memory: 9.025GiB / 503.5GiB
affectionate_jemison: CPU: 1595.38%, Memory: 9.029GiB / 503.5GiB
affectionate_jemison: CPU: 1602.40%, Memory: 9.031GiB / 503.5GiB
affectionate_jemison: CPU: 1602.95%, Memory: 9.035GiB / 503.5GiB
affectionate_jemison: CPU: 1596.47%, Memory: 9.041GiB / 503.5GiB
affectionate_jemison: CPU: 848.05%, Memory: 9.043GiB / 503.5GiB
affectionate_jemison: CPU: 1588.99%, Memory: 9.163GiB / 503.5GiB
affectionate_jemison: CPU: 1595.82%, Memory: 9.195GiB / 503.5GiB
affectionate_jemison: CPU: 1598.80%, Memory: 9.217GiB / 503.5GiB
affectionate_jemison: CPU: 1600.37%, Memory: 9.234GiB / 503.5GiB
affectionate_jemison: CPU: 1601.64%, Memory: 9.246GiB / 503.5GiB
affectionate_jemison: CPU: 1597.95%, Memory: 9.254GiB / 503.5GiB
affectionate_jemison: CPU: 1302.81%, Memory: 6.214GiB / 503.5GiB
affectionate_jemison: CPU: 1600.10%, Memory: 7.982GiB / 503.5GiB
