confident_wu: CPU: 100.18%, Memory: 2.076GiB / 503.5GiB
confident_wu: CPU: 3206.14%, Memory: 2.267GiB / 503.5GiB
confident_wu: CPU: 3189.22%, Memory: 2.27GiB / 503.5GiB
confident_wu: CPU: 2791.50%, Memory: 2.281GiB / 503.5GiB
confident_wu: CPU: 100.15%, Memory: 3.036GiB / 503.5GiB
confident_wu: CPU: 774.14%, Memory: 3.448GiB / 503.5GiB
confident_wu: CPU: 100.12%, Memory: 3.718GiB / 503.5GiB
confident_wu: CPU: 3094.23%, Memory: 3.785GiB / 503.5GiB
confident_wu: CPU: 3156.30%, Memory: 3.785GiB / 503.5GiB
confident_wu: CPU: 3078.41%, Memory: 3.785GiB / 503.5GiB
confident_wu: CPU: 3080.15%, Memory: 3.786GiB / 503.5GiB
confident_wu: CPU: 3150.42%, Memory: 3.786GiB / 503.5GiB
confident_wu: CPU: 99.68%, Memory: 2.733GiB / 503.5GiB
confident_wu: CPU: 1573.30%, Memory: 3.037GiB / 503.5GiB
condescending_ramanujan: CPU: 102.13%, Memory: 768.6MiB / 503.5GiB
condescending_ramanujan: CPU: 100.21%, Memory: 768.4MiB / 503.5GiB
condescending_ramanujan: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
condescending_ramanujan: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
condescending_ramanujan: CPU: 100.05%, Memory: 768.4MiB / 503.5GiB
condescending_ramanujan: CPU: 100.15%, Memory: 2.065GiB / 503.5GiB
condescending_ramanujan: CPU: 3209.16%, Memory: 2.267GiB / 503.5GiB
condescending_ramanujan: CPU: 3192.26%, Memory: 2.27GiB / 503.5GiB
condescending_ramanujan: CPU: 1885.40%, Memory: 2.28GiB / 503.5GiB
condescending_ramanujan: CPU: 100.09%, Memory: 3.167GiB / 503.5GiB
condescending_ramanujan: CPU: 235.14%, Memory: 3.448GiB / 503.5GiB
condescending_ramanujan: CPU: 100.02%, Memory: 3.73GiB / 503.5GiB
condescending_ramanujan: CPU: 3213.93%, Memory: 3.786GiB / 503.5GiB
condescending_ramanujan: CPU: 3171.24%, Memory: 3.785GiB / 503.5GiB
condescending_ramanujan: CPU: 3190.38%, Memory: 3.785GiB / 503.5GiB
condescending_ramanujan: CPU: 3192.32%, Memory: 3.785GiB / 503.5GiB
condescending_ramanujan: CPU: 2173.57%, Memory: 3.785GiB / 503.5GiB
condescending_ramanujan: CPU: 3184.18%, Memory: 3.038GiB / 503.5GiB
