cranky_robinson1: CPU: 99.96%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 99.19%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.25%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 99.50%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.25%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 99.75%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.27%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 102.38%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 101.35%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.75%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.77%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.12%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 101.91%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 99.94%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.12%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 101.07%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.88%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.75%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.08%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.69%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 99.75%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 99.94%, Memory: 2.988GiB / 251.5GiB
cranky_robinson1: CPU: 100.18%, Memory: 5.975GiB / 251.5GiB
cranky_robinson1: CPU: 100.69%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.56%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 101.52%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.88%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 98.33%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 101.52%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 101.20%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.62%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 99.13%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 101.13%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.84%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.21%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.65%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.14%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.12%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 101.22%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 99.13%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 101.91%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 100.31%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 101.13%, Memory: 5.974GiB / 251.5GiB
cranky_robinson1: CPU: 101.28%, Memory: 5.974GiB / 251.5GiB
