stoic_aryabhata: CPU: 1578.81%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1581.90%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1585.34%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1587.47%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1585.77%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1430.26%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 101.03%, Memory: 12.02GiB / 251.5GiB
stoic_aryabhata: CPU: 1582.80%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1582.70%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1552.33%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1552.73%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1578.81%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1585.79%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1550.38%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1526.74%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1582.13%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1531.49%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1583.12%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1584.08%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 100.65%, Memory: 13.37GiB / 251.5GiB
pensive_goldberg1: CPU: 99.45%, Memory: 1.444GiB / 251.5GiB
pensive_goldberg1: CPU: 101.41%, Memory: 4.361GiB / 251.5GiB
pensive_goldberg1: CPU: 100.18%, Memory: 4.551GiB / 251.5GiB
pensive_goldberg1: CPU: 101.28%, Memory: 4.592GiB / 251.5GiB
pensive_goldberg1: CPU: 646.97%, Memory: 9.038GiB / 251.5GiB
pensive_goldberg1: CPU: 1555.60%, Memory: 9.038GiB / 251.5GiB
pensive_goldberg1: CPU: 1557.46%, Memory: 9.038GiB / 251.5GiB
pensive_goldberg1: CPU: 1559.02%, Memory: 9.038GiB / 251.5GiB
pensive_goldberg1: CPU: 1551.17%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1564.83%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1541.13%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1582.89%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1586.03%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1581.29%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1587.11%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1586.86%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1582.77%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1581.01%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1582.24%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1581.08%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1442.43%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 100.37%, Memory: 12.02GiB / 251.5GiB
pensive_goldberg1: CPU: 970.29%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1573.52%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1554.95%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1537.52%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1554.28%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1555.85%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1552.60%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1548.46%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1568.23%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1537.67%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1554.30%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1550.15%, Memory: 9.039GiB / 251.5GiB
pensive_goldberg1: CPU: 1363.79%, Memory: 9.513GiB / 251.5GiB
pensive_goldberg1: CPU: 100.26%, Memory: 15.37GiB / 251.5GiB
