quizzical_swanson: CPU: 1520.36%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1569.27%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1535.11%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1566.45%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1480.87%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1518.76%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1537.66%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1543.28%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1541.26%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1551.78%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1582.72%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1560.42%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1579.55%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1572.15%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1581.17%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1571.42%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1570.63%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1540.21%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1553.81%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1549.58%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1553.26%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1537.43%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1520.74%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1541.79%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1500.76%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1549.26%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1579.32%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1396.51%, Memory: 600.5MiB / 251.5GiB
affectionate_black: CPU: 101.65%, Memory: 384.7MiB / 251.5GiB
affectionate_black: CPU: 100.21%, Memory: 384.7MiB / 251.5GiB
affectionate_black: CPU: 1548.50%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1527.40%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1528.73%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1505.47%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1544.57%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1539.58%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1583.59%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1580.03%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1570.98%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1544.41%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1515.47%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1572.69%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1537.19%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1539.47%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1524.83%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1542.58%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1537.06%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1543.28%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1552.91%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1551.17%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1580.95%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1539.00%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1540.09%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1546.62%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1549.23%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1548.28%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1456.09%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1554.93%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1563.38%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1538.09%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1563.86%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1570.35%, Memory: 386MiB / 251.5GiB
affectionate_black: CPU: 1546.46%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 121.61%, Memory: 384.7MiB / 251.5GiB
tender_shaw: CPU: 100.06%, Memory: 384.6MiB / 251.5GiB
tender_shaw: CPU: 1582.64%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1544.85%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1531.02%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1510.32%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1522.65%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1528.83%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1487.36%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1523.82%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1553.15%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1540.53%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1519.28%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1508.20%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1544.44%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1570.94%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1583.21%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1518.73%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1504.65%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1524.27%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1289.76%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1549.40%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1545.47%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1546.42%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1551.84%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1578.39%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1537.36%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1529.28%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1542.47%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1512.77%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1513.40%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1536.85%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1559.85%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1539.46%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1519.44%, Memory: 386MiB / 251.5GiB
tender_shaw: CPU: 1544.82%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 102.25%, Memory: 384.7MiB / 251.5GiB
compassionate_mclaren: CPU: 593.86%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1523.09%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1526.96%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1532.42%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1523.20%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1572.33%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1549.66%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1546.43%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1548.31%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1549.42%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1564.52%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1559.18%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1528.50%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1586.53%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1563.14%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1492.62%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1559.82%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1553.72%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1543.84%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1572.70%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1575.73%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1561.73%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1538.70%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1534.83%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1561.82%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1517.22%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1582.76%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1534.15%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1550.85%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1562.42%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1572.83%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1535.96%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1537.20%, Memory: 386MiB / 251.5GiB
compassionate_mclaren: CPU: 1569.31%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 160.07%, Memory: 384.7MiB / 251.5GiB
intelligent_yonath: CPU: 100.49%, Memory: 384.6MiB / 251.5GiB
intelligent_yonath: CPU: 1579.57%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1557.09%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1551.25%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1542.79%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1535.70%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1548.69%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1546.33%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1502.62%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1553.58%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1563.50%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1542.11%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1564.12%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1499.93%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1547.58%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1549.20%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1560.98%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1556.62%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1583.34%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1521.65%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1538.03%, Memory: 386MiB / 251.5GiB
