strange_mahavira: CPU: 214.51%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 231.28%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 221.61%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 215.15%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 169.02%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 163.74%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 191.64%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 226.57%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 189.98%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 161.50%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 153.93%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 167.24%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 170.93%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 168.05%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 168.47%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 158.80%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 149.43%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 155.04%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 156.42%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 159.37%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 181.99%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 177.78%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 186.92%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 177.16%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 171.17%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 192.92%, Memory: 1.351GiB / 251.5GiB
strange_mahavira: CPU: 205.25%, Memory: 1.352GiB / 251.5GiB
strange_mahavira: CPU: 195.53%, Memory: 1.352GiB / 251.5GiB
strange_mahavira: CPU: 199.21%, Memory: 1.352GiB / 251.5GiB
strange_mahavira: CPU: 182.44%, Memory: 1.352GiB / 251.5GiB
strange_mahavira: CPU: 172.37%, Memory: 1.352GiB / 251.5GiB
strange_mahavira: CPU: 156.57%, Memory: 1.352GiB / 251.5GiB
strange_mahavira: CPU: 174.52%, Memory: 1.352GiB / 251.5GiB
strange_mahavira: CPU: 193.71%, Memory: 1.352GiB / 251.5GiB
strange_mahavira: CPU: 197.12%, Memory: 1.539GiB / 251.5GiB
strange_mahavira: CPU: 157.03%, Memory: 1.569GiB / 251.5GiB
strange_mahavira: CPU: 133.09%, Memory: 1.629GiB / 251.5GiB
strange_mahavira: CPU: 168.07%, Memory: 1.709GiB / 251.5GiB
strange_mahavira: CPU: 181.40%, Memory: 2.054GiB / 251.5GiB
strange_mahavira: CPU: 176.57%, Memory: 2.054GiB / 251.5GiB
strange_mahavira: CPU: 184.26%, Memory: 2.054GiB / 251.5GiB
strange_mahavira: CPU: 167.05%, Memory: 2.054GiB / 251.5GiB
strange_mahavira: CPU: 175.16%, Memory: 2.054GiB / 251.5GiB
strange_mahavira: CPU: 220.22%, Memory: 2.054GiB / 251.5GiB
strange_mahavira: CPU: 176.89%, Memory: 2.054GiB / 251.5GiB
strange_mahavira: CPU: 216.92%, Memory: 2.054GiB / 251.5GiB
strange_mahavira: CPU: 229.74%, Memory: 2.057GiB / 251.5GiB
strange_mahavira: CPU: 206.37%, Memory: 2.057GiB / 251.5GiB
strange_mahavira: CPU: 167.23%, Memory: 2.057GiB / 251.5GiB
strange_mahavira: CPU: 152.09%, Memory: 1017MiB / 251.5GiB
strange_mahavira: CPU: 152.94%, Memory: 1017MiB / 251.5GiB
strange_mahavira: CPU: 171.86%, Memory: 634.6MiB / 251.5GiB
strange_mahavira: CPU: 134.23%, Memory: 634.6MiB / 251.5GiB
magical_tu: CPU: 135.26%, Memory: 1.212GiB / 251.5GiB
magical_tu: CPU: 197.39%, Memory: 1.328GiB / 251.5GiB
magical_tu: CPU: 184.10%, Memory: 1.328GiB / 251.5GiB
magical_tu: CPU: 198.45%, Memory: 1.328GiB / 251.5GiB
magical_tu: CPU: 200.39%, Memory: 1.328GiB / 251.5GiB
magical_tu: CPU: 221.74%, Memory: 1.328GiB / 251.5GiB
magical_tu: CPU: 179.77%, Memory: 1.328GiB / 251.5GiB
magical_tu: CPU: 177.36%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 166.62%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 165.53%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 169.41%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 172.70%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 175.27%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 203.70%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 190.88%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 176.98%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 173.75%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 201.49%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 175.00%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 157.01%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 169.67%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 165.36%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 161.59%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 173.34%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 198.90%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 193.17%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 226.13%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 262.17%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 198.90%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 187.63%, Memory: 1.332GiB / 251.5GiB
