ecstatic_joliot: CPU: 100.18%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.07%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 100.75%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 100.63%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.97%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.09%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 100.12%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.15%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 100.14%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.67%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 100.33%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.09%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.06%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.41%, Memory: 4.701GiB / 251.5GiB
ecstatic_joliot: CPU: 100.58%, Memory: 7.233GiB / 251.5GiB
ecstatic_joliot: CPU: 1546.59%, Memory: 7.613GiB / 251.5GiB
ecstatic_joliot: CPU: 1499.12%, Memory: 7.613GiB / 251.5GiB
ecstatic_joliot: CPU: 604.46%, Memory: 7.613GiB / 251.5GiB
ecstatic_joliot: CPU: 100.14%, Memory: 6.946GiB / 251.5GiB
ecstatic_joliot: CPU: 1556.08%, Memory: 7.627GiB / 251.5GiB
ecstatic_joliot: CPU: 1516.13%, Memory: 7.627GiB / 251.5GiB
ecstatic_joliot: CPU: 1550.30%, Memory: 7.627GiB / 251.5GiB
ecstatic_joliot: CPU: 1535.78%, Memory: 7.633GiB / 251.5GiB
ecstatic_joliot: CPU: 1547.49%, Memory: 7.638GiB / 251.5GiB
ecstatic_joliot: CPU: 327.45%, Memory: 7.64GiB / 251.5GiB
ecstatic_joliot: CPU: 101.09%, Memory: 6.067GiB / 251.5GiB
modest_nightingale: CPU: 145.53%, Memory: 1.728GiB / 251.5GiB
modest_nightingale: CPU: 100.43%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 101.78%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.84%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.90%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.37%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.12%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.00%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.18%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.02%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.82%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.62%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 99.13%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.14%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 101.41%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 99.38%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.33%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 101.03%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.15%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.33%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 101.73%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.90%, Memory: 2.988GiB / 251.5GiB
modest_nightingale: CPU: 100.31%, Memory: 6.737GiB / 251.5GiB
modest_nightingale: CPU: 1549.94%, Memory: 7.613GiB / 251.5GiB
modest_nightingale: CPU: 1549.77%, Memory: 7.613GiB / 251.5GiB
modest_nightingale: CPU: 985.64%, Memory: 7.613GiB / 251.5GiB
modest_nightingale: CPU: 100.27%, Memory: 6.803GiB / 251.5GiB
modest_nightingale: CPU: 1557.88%, Memory: 7.627GiB / 251.5GiB
modest_nightingale: CPU: 1551.05%, Memory: 7.627GiB / 251.5GiB
modest_nightingale: CPU: 1531.67%, Memory: 7.627GiB / 251.5GiB
modest_nightingale: CPU: 1558.41%, Memory: 7.633GiB / 251.5GiB
modest_nightingale: CPU: 1547.40%, Memory: 7.638GiB / 251.5GiB
modest_nightingale: CPU: 100.37%, Memory: 7.64GiB / 251.5GiB
modest_nightingale: CPU: 100.88%, Memory: 6.067GiB / 251.5GiB
crazy_swirles: CPU: 123.86%, Memory: 1.75GiB / 251.5GiB
crazy_swirles: CPU: 100.06%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 101.47%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 99.99%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.50%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 101.16%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.90%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.96%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.88%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 98.64%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.69%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.37%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.71%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.27%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.08%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 101.09%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.65%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.12%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 101.14%, Memory: 2.988GiB / 251.5GiB
crazy_swirles: CPU: 100.12%, Memory: 6.671GiB / 251.5GiB
crazy_swirles: CPU: 1520.56%, Memory: 7.613GiB / 251.5GiB
crazy_swirles: CPU: 1552.40%, Memory: 7.613GiB / 251.5GiB
crazy_swirles: CPU: 1303.75%, Memory: 7.613GiB / 251.5GiB
crazy_swirles: CPU: 100.69%, Memory: 6.67GiB / 251.5GiB
crazy_swirles: CPU: 1512.54%, Memory: 7.627GiB / 251.5GiB
crazy_swirles: CPU: 1500.97%, Memory: 7.627GiB / 251.5GiB
crazy_swirles: CPU: 1539.82%, Memory: 7.627GiB / 251.5GiB
crazy_swirles: CPU: 1545.57%, Memory: 7.633GiB / 251.5GiB
crazy_swirles: CPU: 1561.43%, Memory: 7.638GiB / 251.5GiB
crazy_swirles: CPU: 305.40%, Memory: 7.64GiB / 251.5GiB
crazy_swirles: CPU: 100.75%, Memory: 6.067GiB / 251.5GiB
goofy_chatterjee: CPU: 166.27%, Memory: 1.714GiB / 251.5GiB
goofy_chatterjee: CPU: 100.90%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 101.97%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.63%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 101.01%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.50%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 101.46%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.33%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.69%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.75%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 101.58%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
