upbeat_montalcini: CPU: 100.19%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.88%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.23%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.04%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.97%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.21%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.05%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.88%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.04%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.03%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.95%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.97%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.19%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.04%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.95%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.00%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.32%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.11%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.03%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.97%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.16%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.20%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.23%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.03%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.82%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.98%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.20%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.91%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.19%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.32%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.91%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.11%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.88%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.10%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.00%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.88%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.05%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.82%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
