brave_pare: CPU: 1556.46%, Memory: 391.5MiB / 251.5GiB
brave_pare: CPU: 1560.35%, Memory: 393.8MiB / 251.5GiB
brave_pare: CPU: 100.71%, Memory: 393.6MiB / 251.5GiB
brave_pare: CPU: 101.03%, Memory: 393.6MiB / 251.5GiB
brave_pare: CPU: 100.96%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.21%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.67%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.01%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.00%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.56%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.09%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.80%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.99%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.25%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.38%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.20%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.25%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.63%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.75%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.46%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 98.76%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.71%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.01%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.81%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.87%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.65%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.25%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.81%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.96%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.56%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.54%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.15%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.41%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.77%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.01%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.69%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.15%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.46%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.52%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.94%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.46%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.06%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.56%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.67%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.52%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.71%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.50%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.75%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.69%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.44%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.37%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.96%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.62%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.58%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.13%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.28%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.41%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.81%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.79%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.20%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.87%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.21%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.09%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.68%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.84%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.15%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.74%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.96%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.44%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.06%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.50%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.69%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.88%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.62%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.88%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.50%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.18%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.28%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.20%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.31%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.96%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.52%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.96%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.43%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.87%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.03%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.88%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.37%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.45%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.62%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.69%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.56%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.87%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.56%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.56%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.21%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.73%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.93%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.31%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.83%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.75%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.65%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.71%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.06%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.13%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.09%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.39%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.02%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.81%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 100.69%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 99.99%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 101.02%, Memory: 393.5MiB / 251.5GiB
brave_pare: CPU: 1578.38%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.05%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1589.94%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1589.14%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1589.87%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1589.44%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1591.98%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1592.67%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1594.18%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1587.16%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.54%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1568.39%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1561.76%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1567.69%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1584.21%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.93%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1592.44%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1588.52%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1568.73%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1564.18%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1589.58%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1584.03%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1567.17%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1568.35%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1562.13%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1536.32%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1587.69%, Memory: 586MiB / 251.5GiB
