festive_cartwright: CPU: 798.92%, Memory: 9.144GiB / 251.5GiB
festive_cartwright: CPU: 799.90%, Memory: 9.152GiB / 251.5GiB
festive_cartwright: CPU: 799.43%, Memory: 9.137GiB / 251.5GiB
festive_cartwright: CPU: 800.45%, Memory: 9.165GiB / 251.5GiB
festive_cartwright: CPU: 797.52%, Memory: 9.17GiB / 251.5GiB
festive_cartwright: CPU: 798.48%, Memory: 9.174GiB / 251.5GiB
festive_cartwright: CPU: 282.29%, Memory: 8.489GiB / 251.5GiB
festive_cartwright: CPU: 707.00%, Memory: 13.91GiB / 251.5GiB
festive_cartwright: CPU: 800.15%, Memory: 13.91GiB / 251.5GiB
festive_cartwright: CPU: 257.12%, Memory: 15.08GiB / 251.5GiB
festive_cartwright: CPU: 99.75%, Memory: 15.32GiB / 251.5GiB
festive_cartwright: CPU: 99.93%, Memory: 16.29GiB / 251.5GiB
festive_cartwright: CPU: 803.16%, Memory: 18.31GiB / 251.5GiB
festive_cartwright: CPU: 803.16%, Memory: 18.31GiB / 251.5GiB
festive_cartwright: CPU: 801.66%, Memory: 18.31GiB / 251.5GiB
festive_cartwright: CPU: 797.98%, Memory: 18.31GiB / 251.5GiB
festive_cartwright: CPU: 800.65%, Memory: 18.31GiB / 251.5GiB
festive_cartwright: CPU: 797.96%, Memory: 18.31GiB / 251.5GiB
festive_cartwright: CPU: 800.95%, Memory: 18.31GiB / 251.5GiB
festive_cartwright: CPU: 398.25%, Memory: 10.21GiB / 251.5GiB
serene_moore: CPU: 100.27%, Memory: 3.45GiB / 251.5GiB
serene_moore: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
serene_moore: CPU: 100.21%, Memory: 5.975GiB / 251.5GiB
serene_moore: CPU: 802.07%, Memory: 9.019GiB / 251.5GiB
serene_moore: CPU: 798.63%, Memory: 9.021GiB / 251.5GiB
serene_moore: CPU: 800.96%, Memory: 9.021GiB / 251.5GiB
serene_moore: CPU: 799.76%, Memory: 9.023GiB / 251.5GiB
serene_moore: CPU: 797.26%, Memory: 9.024GiB / 251.5GiB
serene_moore: CPU: 802.01%, Memory: 9.027GiB / 251.5GiB
serene_moore: CPU: 798.73%, Memory: 9.029GiB / 251.5GiB
serene_moore: CPU: 800.30%, Memory: 9.034GiB / 251.5GiB
serene_moore: CPU: 621.29%, Memory: 9.056GiB / 251.5GiB
serene_moore: CPU: 800.51%, Memory: 9.119GiB / 251.5GiB
serene_moore: CPU: 798.36%, Memory: 9.134GiB / 251.5GiB
serene_moore: CPU: 801.36%, Memory: 9.143GiB / 251.5GiB
serene_moore: CPU: 798.58%, Memory: 9.116GiB / 251.5GiB
serene_moore: CPU: 799.93%, Memory: 9.158GiB / 251.5GiB
serene_moore: CPU: 799.95%, Memory: 9.164GiB / 251.5GiB
serene_moore: CPU: 798.96%, Memory: 9.169GiB / 251.5GiB
serene_moore: CPU: 797.44%, Memory: 9.15GiB / 251.5GiB
serene_moore: CPU: 420.28%, Memory: 7.896GiB / 251.5GiB
serene_moore: CPU: 582.62%, Memory: 13.89GiB / 251.5GiB
serene_moore: CPU: 799.75%, Memory: 13.89GiB / 251.5GiB
serene_moore: CPU: 451.96%, Memory: 14.02GiB / 251.5GiB
serene_moore: CPU: 99.86%, Memory: 15.3GiB / 251.5GiB
serene_moore: CPU: 100.21%, Memory: 15.3GiB / 251.5GiB
serene_moore: CPU: 803.17%, Memory: 18.29GiB / 251.5GiB
serene_moore: CPU: 802.03%, Memory: 18.29GiB / 251.5GiB
serene_moore: CPU: 796.92%, Memory: 18.29GiB / 251.5GiB
serene_moore: CPU: 803.13%, Memory: 18.29GiB / 251.5GiB
serene_moore: CPU: 802.13%, Memory: 18.29GiB / 251.5GiB
serene_moore: CPU: 803.67%, Memory: 18.29GiB / 251.5GiB
serene_moore: CPU: 803.62%, Memory: 18.29GiB / 251.5GiB
serene_moore: CPU: 770.58%, Memory: 18.29GiB / 251.5GiB
cranky_bhabha: CPU: 100.26%, Memory: 3.013GiB / 251.5GiB
cranky_bhabha: CPU: 100.14%, Memory: 5.975GiB / 251.5GiB
cranky_bhabha: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
cranky_bhabha: CPU: 801.51%, Memory: 9.018GiB / 251.5GiB
cranky_bhabha: CPU: 800.39%, Memory: 9.019GiB / 251.5GiB
cranky_bhabha: CPU: 800.65%, Memory: 9.021GiB / 251.5GiB
cranky_bhabha: CPU: 799.95%, Memory: 9.023GiB / 251.5GiB
cranky_bhabha: CPU: 796.60%, Memory: 9.025GiB / 251.5GiB
cranky_bhabha: CPU: 799.96%, Memory: 9.026GiB / 251.5GiB
cranky_bhabha: CPU: 800.63%, Memory: 9.029GiB / 251.5GiB
cranky_bhabha: CPU: 799.95%, Memory: 9.035GiB / 251.5GiB
cranky_bhabha: CPU: 731.00%, Memory: 9.059GiB / 251.5GiB
cranky_bhabha: CPU: 800.14%, Memory: 9.099GiB / 251.5GiB
cranky_bhabha: CPU: 801.05%, Memory: 9.134GiB / 251.5GiB
cranky_bhabha: CPU: 800.61%, Memory: 9.144GiB / 251.5GiB
cranky_bhabha: CPU: 799.46%, Memory: 9.152GiB / 251.5GiB
cranky_bhabha: CPU: 803.91%, Memory: 9.158GiB / 251.5GiB
cranky_bhabha: CPU: 797.98%, Memory: 9.145GiB / 251.5GiB
cranky_bhabha: CPU: 798.43%, Memory: 9.17GiB / 251.5GiB
cranky_bhabha: CPU: 800.16%, Memory: 9.15GiB / 251.5GiB
cranky_bhabha: CPU: 371.62%, Memory: 8.126GiB / 251.5GiB
cranky_bhabha: CPU: 621.99%, Memory: 13.89GiB / 251.5GiB
cranky_bhabha: CPU: 799.73%, Memory: 13.89GiB / 251.5GiB
cranky_bhabha: CPU: 345.40%, Memory: 14.67GiB / 251.5GiB
cranky_bhabha: CPU: 99.81%, Memory: 15.3GiB / 251.5GiB
cranky_bhabha: CPU: 99.68%, Memory: 15.7GiB / 251.5GiB
cranky_bhabha: CPU: 801.64%, Memory: 18.29GiB / 251.5GiB
cranky_bhabha: CPU: 798.43%, Memory: 18.29GiB / 251.5GiB
cranky_bhabha: CPU: 803.65%, Memory: 18.29GiB / 251.5GiB
cranky_bhabha: CPU: 803.58%, Memory: 18.29GiB / 251.5GiB
cranky_bhabha: CPU: 801.62%, Memory: 18.29GiB / 251.5GiB
cranky_bhabha: CPU: 797.87%, Memory: 18.29GiB / 251.5GiB
cranky_bhabha: CPU: 799.95%, Memory: 18.29GiB / 251.5GiB
cranky_bhabha: CPU: 532.62%, Memory: 18.29GiB / 251.5GiB
affectionate_cannon: CPU: 100.26%, Memory: 2.982GiB / 251.5GiB
affectionate_cannon: CPU: 100.21%, Memory: 5.975GiB / 251.5GiB
affectionate_cannon: CPU: 99.68%, Memory: 5.975GiB / 251.5GiB
affectionate_cannon: CPU: 99.96%, Memory: 5.975GiB / 251.5GiB
affectionate_cannon: CPU: 801.18%, Memory: 9.019GiB / 251.5GiB
affectionate_cannon: CPU: 798.94%, Memory: 9.02GiB / 251.5GiB
affectionate_cannon: CPU: 797.65%, Memory: 9.021GiB / 251.5GiB
affectionate_cannon: CPU: 802.33%, Memory: 9.023GiB / 251.5GiB
affectionate_cannon: CPU: 800.46%, Memory: 9.024GiB / 251.5GiB
affectionate_cannon: CPU: 799.48%, Memory: 9.027GiB / 251.5GiB
affectionate_cannon: CPU: 797.57%, Memory: 9.029GiB / 251.5GiB
affectionate_cannon: CPU: 801.63%, Memory: 9.034GiB / 251.5GiB
affectionate_cannon: CPU: 641.10%, Memory: 9.054GiB / 251.5GiB
affectionate_cannon: CPU: 797.95%, Memory: 9.119GiB / 251.5GiB
affectionate_cannon: CPU: 797.94%, Memory: 9.133GiB / 251.5GiB
