hardcore_lewin: CPU: 98.82%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.56%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.50%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.90%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.35%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.68%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 102.30%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.28%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.60%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.88%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.31%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.31%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.63%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.01%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.06%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.39%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.97%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.01%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.27%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.31%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.52%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.26%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.71%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.03%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.33%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.58%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.16%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.63%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.77%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.07%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.59%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.01%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 98.95%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.81%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.77%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.81%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.39%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.52%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.44%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.84%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.39%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.53%, Memory: 1.512GiB / 251.5GiB
