vibrant_blackburn: CPU: 1480.23%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1393.38%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1324.97%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1473.71%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1501.82%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1443.54%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1428.10%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1437.93%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1484.58%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1477.38%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1450.63%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1481.55%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1513.27%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1396.90%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1502.18%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1478.53%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1477.18%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1320.08%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1457.42%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1480.84%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1281.57%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1479.41%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1460.63%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1154.49%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1476.43%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1454.22%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1442.31%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1453.64%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1225.10%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1299.70%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1507.32%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1454.17%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1491.24%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1511.32%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1481.00%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1464.68%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1281.90%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1218.32%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1394.64%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1448.44%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1420.51%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1444.87%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1296.62%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1500.82%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1487.93%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1424.65%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1464.52%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1500.91%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1495.25%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1496.22%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1445.90%, Memory: 5.976GiB / 251.5GiB
