reverent_williamson: CPU: 1516.30%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1487.72%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1520.39%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1488.76%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1527.10%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1487.48%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1488.88%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1493.57%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1540.48%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1490.19%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1481.10%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1488.96%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1486.95%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1491.76%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1520.53%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1513.45%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1494.04%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1502.14%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1533.66%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1515.94%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1505.43%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1539.56%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1501.38%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1492.12%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1523.76%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1483.95%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1492.36%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1528.25%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1498.00%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1520.00%, Memory: 14.95GiB / 251.5GiB
