busy_haibt: CPU: 1550.24%, Memory: 9.115GiB / 251.5GiB
busy_haibt: CPU: 1515.96%, Memory: 9.116GiB / 251.5GiB
busy_haibt: CPU: 1496.91%, Memory: 9.116GiB / 251.5GiB
busy_haibt: CPU: 1530.12%, Memory: 9.117GiB / 251.5GiB
busy_haibt: CPU: 1559.14%, Memory: 9.117GiB / 251.5GiB
busy_haibt: CPU: 1564.82%, Memory: 9.117GiB / 251.5GiB
busy_haibt: CPU: 1537.15%, Memory: 9.118GiB / 251.5GiB
busy_haibt: CPU: 1552.55%, Memory: 9.118GiB / 251.5GiB
busy_haibt: CPU: 1493.13%, Memory: 9.118GiB / 251.5GiB
busy_haibt: CPU: 1552.91%, Memory: 9.118GiB / 251.5GiB
busy_haibt: CPU: 1561.38%, Memory: 9.118GiB / 251.5GiB
busy_haibt: CPU: 1566.83%, Memory: 9.118GiB / 251.5GiB
busy_haibt: CPU: 1053.86%, Memory: 12.16GiB / 251.5GiB
busy_haibt: CPU: 1551.80%, Memory: 12.16GiB / 251.5GiB
busy_haibt: CPU: 1583.50%, Memory: 12.16GiB / 251.5GiB
busy_haibt: CPU: 1558.04%, Memory: 12.16GiB / 251.5GiB
busy_haibt: CPU: 1550.66%, Memory: 12.16GiB / 251.5GiB
busy_haibt: CPU: 1540.61%, Memory: 12.16GiB / 251.5GiB
busy_haibt: CPU: 100.82%, Memory: 6.195GiB / 251.5GiB
busy_haibt: CPU: 1583.95%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1552.98%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1520.19%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1556.05%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1556.21%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1583.99%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1569.02%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1548.41%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1564.78%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1560.93%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1581.82%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 1550.03%, Memory: 9.184GiB / 251.5GiB
busy_haibt: CPU: 99.71%, Memory: 12.17GiB / 251.5GiB
pedantic_kepler: CPU: 236.33%, Memory: 67.33MiB / 251.5GiB
pedantic_kepler: CPU: 99.99%, Memory: 2.863GiB / 251.5GiB
pedantic_kepler: CPU: 100.69%, Memory: 4.219GiB / 251.5GiB
pedantic_kepler: CPU: 100.02%, Memory: 5.105GiB / 251.5GiB
pedantic_kepler: CPU: 101.97%, Memory: 5.956GiB / 251.5GiB
pedantic_kepler: CPU: 100.18%, Memory: 6.041GiB / 251.5GiB
pedantic_kepler: CPU: 100.12%, Memory: 3.908GiB / 251.5GiB
pedantic_kepler: CPU: 100.24%, Memory: 5.324GiB / 251.5GiB
pedantic_kepler: CPU: 1544.71%, Memory: 6.107GiB / 251.5GiB
pedantic_kepler: CPU: 1547.53%, Memory: 6.107GiB / 251.5GiB
pedantic_kepler: CPU: 369.58%, Memory: 6.19GiB / 251.5GiB
pedantic_kepler: CPU: 1579.72%, Memory: 9.108GiB / 251.5GiB
pedantic_kepler: CPU: 1550.65%, Memory: 9.108GiB / 251.5GiB
pedantic_kepler: CPU: 1567.66%, Memory: 9.108GiB / 251.5GiB
pedantic_kepler: CPU: 1558.40%, Memory: 9.108GiB / 251.5GiB
pedantic_kepler: CPU: 1555.77%, Memory: 9.108GiB / 251.5GiB
pedantic_kepler: CPU: 1492.45%, Memory: 9.108GiB / 251.5GiB
pedantic_kepler: CPU: 1557.48%, Memory: 9.115GiB / 251.5GiB
pedantic_kepler: CPU: 1581.55%, Memory: 9.116GiB / 251.5GiB
pedantic_kepler: CPU: 1582.47%, Memory: 9.116GiB / 251.5GiB
pedantic_kepler: CPU: 1555.19%, Memory: 9.117GiB / 251.5GiB
pedantic_kepler: CPU: 1541.60%, Memory: 9.117GiB / 251.5GiB
pedantic_kepler: CPU: 1559.28%, Memory: 9.117GiB / 251.5GiB
pedantic_kepler: CPU: 1523.91%, Memory: 9.117GiB / 251.5GiB
pedantic_kepler: CPU: 1525.11%, Memory: 9.118GiB / 251.5GiB
pedantic_kepler: CPU: 1517.45%, Memory: 9.118GiB / 251.5GiB
pedantic_kepler: CPU: 1560.97%, Memory: 9.118GiB / 251.5GiB
pedantic_kepler: CPU: 1485.29%, Memory: 9.118GiB / 251.5GiB
pedantic_kepler: CPU: 1499.88%, Memory: 9.118GiB / 251.5GiB
