peaceful_khayyam: CPU: 162.69%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 156.72%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 171.26%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 163.97%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 143.01%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 171.45%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 168.68%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 149.59%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 162.18%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 191.22%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 220.97%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 176.68%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 190.74%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 157.89%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 166.91%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 197.61%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 185.33%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 177.14%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 187.70%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 156.34%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 178.66%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 160.45%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 158.39%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 180.90%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 170.10%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 169.76%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 221.85%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 211.98%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 169.71%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 196.73%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 210.11%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 174.63%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 194.16%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 178.10%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 192.31%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 160.89%, Memory: 6.085GiB / 251.5GiB
peaceful_khayyam: CPU: 160.17%, Memory: 6.085GiB / 251.5GiB
peaceful_khayyam: CPU: 199.75%, Memory: 6.085GiB / 251.5GiB
peaceful_khayyam: CPU: 191.60%, Memory: 6.103GiB / 251.5GiB
peaceful_khayyam: CPU: 141.03%, Memory: 6.204GiB / 251.5GiB
peaceful_khayyam: CPU: 157.86%, Memory: 6.204GiB / 251.5GiB
peaceful_khayyam: CPU: 192.45%, Memory: 6.214GiB / 251.5GiB
peaceful_khayyam: CPU: 167.33%, Memory: 6.598GiB / 251.5GiB
peaceful_khayyam: CPU: 208.01%, Memory: 6.598GiB / 251.5GiB
