compassionate_ganguly: CPU: 800.89%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 804.17%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.64%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 796.94%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.10%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.73%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.63%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.49%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.83%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.09%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.15%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.39%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.47%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.14%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.97%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 795.84%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.51%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.96%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.65%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.16%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.33%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.65%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.43%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.16%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.96%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.99%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.86%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.95%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.82%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.20%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.56%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.40%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.77%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.66%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.24%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.37%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 803.89%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.87%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.96%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.18%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.42%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.74%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.88%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.57%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.47%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.47%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.16%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.81%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.84%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 803.99%, Memory: 24.36GiB / 251.5GiB
